domain,tld,is_https,url_length,num_hyphens,num_digits,num_special_chars,num_path_segments,has_ssl,whois_registrar,whois_country,domain_age_days,is_phishing
https://lang-simpson.io,io,1,23,1,0,0,2,0,Barker Ltd,Greenland,6430,True
https://ross.gov,gov,1,16,0,0,0,2,0,Fields-Young,Western Sahara,6764,False
https://payne-wright.gov,gov,1,24,1,0,0,2,1,Tate Group,Seychelles,7062,False
http://lee.org,org,0,14,0,0,0,2,1,"Waters, Flowers and Burton",New Zealand,4002,False
http://johnson-bailey.info,info,0,26,1,0,0,2,1,Edwards LLC,North Macedonia,4921,False
http://snyder.com,com,0,17,0,0,0,2,1,Lucero PLC,Tunisia,3262,True
http://johnson.net,net,0,18,0,0,0,2,1,Wolfe and Sons,Kuwait,1806,True
http://beasley-roth.info,info,0,24,1,0,0,2,1,Willis-Mathis,Mexico,2830,True
https://welch-hancock.io,io,1,24,1,0,0,2,1,Wilson-Taylor,Norfolk Island,1714,True
https://cabrera-perez.dev,dev,1,25,1,0,0,2,1,Hunter-Rodriguez,Faroe Islands,4988,False
https://johnson-sims.biz,biz,1,24,1,0,0,2,0,"Warner, Mcclain and Powers",Moldova,574,True
http://simmons.ar,ar,0,17,0,0,0,2,0,"Mendez, Heath and Colon",Kiribati,6779,True
http://lopez.io,io,0,15,0,0,0,2,0,Nelson-Brooks,Jordan,7297,False
https://marshall-hampton.gov,gov,1,28,1,0,0,2,0,Gordon LLC,Ethiopia,6763,True
http://valdez.net,net,0,17,0,0,0,2,1,Perez-Coffey,Equatorial Guinea,7048,True
http://allen.edu,edu,0,16,0,0,0,2,0,Jackson-Ayala,French Polynesia,2492,False
https://villarreal.gov,gov,1,22,0,0,0,2,0,"Davis, Williams and Ochoa",Netherlands,5487,False
https://hernandez.net,net,1,21,0,0,0,2,1,"Gibson, Brennan and Kim",Lebanon,7292,True
http://hester-james.dev,dev,0,23,1,0,0,2,1,White-Hill,Niue,7079,False
http://johnston-hall.net,net,0,24,1,0,0,2,0,Robles-Delacruz,Cameroon,1538,False
https://garrett-rodriguez.net,net,1,29,1,0,0,2,0,Williams PLC,Monaco,7253,False
https://beck.io,io,1,15,0,0,0,2,0,"Newton, Espinoza and Navarro",Bosnia and Herzegovina,424,False
https://ruiz.edu,edu,1,16,0,0,0,2,1,"Powell, Rojas and Cole",Antigua and Barbuda,3849,False
https://gray.net,net,1,16,0,0,0,2,0,Smith-Wells,Nepal,1133,True
http://harris.edu,edu,0,17,0,0,0,2,1,Collins Ltd,Austria,1100,False
https://lynch.net,net,1,17,0,0,0,2,0,Duncan-Lewis,Greece,3958,False
https://hall.io,io,1,15,0,0,0,2,1,"Carpenter, Barton and Smith",Poland,4929,False
https://young-weber.gov,gov,1,23,1,0,0,2,0,Stokes Inc,North Macedonia,6095,False
http://scott.biz,biz,0,16,0,0,0,2,0,Gonzalez-Woodward,Congo,4614,False
https://kennedy-mitchell.io,io,1,27,1,0,0,2,0,Fleming-Gregory,Lebanon,5946,True
http://dominguez-jackson.net,net,0,28,1,0,0,2,0,Kelly Ltd,Cyprus,2154,False
https://zamora.net,net,1,18,0,0,0,2,1,"Baker, Thomas and Gibson",Tunisia,6540,False
https://wilson-kim.gov,gov,1,22,1,0,0,2,0,Cohen Ltd,Saint Helena,6912,False
http://smith-thomas.edu,edu,0,23,1,0,0,2,1,Wilkinson-Ortiz,Taiwan,6965,False
https://keith-herrera.dev,dev,1,25,1,0,0,2,0,"Ramirez, Shepherd and Powers",Kenya,3400,False
https://house.com,com,1,17,0,0,0,2,1,Williams LLC,Korea,4296,False
https://oconnor.biz,biz,1,19,0,0,0,2,1,Paul Group,Palestinian Territory,3452,True
https://tran.org,org,1,16,0,0,0,2,1,Hawkins LLC,Saudi Arabia,866,True
http://anderson.gov,gov,0,19,0,0,0,2,1,Jones-Fernandez,Guinea,4702,True
https://hickman.net,net,1,19,0,0,0,2,1,Hunter and Sons,Sao Tome and Principe,1010,True
https://murphy.io,io,1,17,0,0,0,2,0,King-Allen,Rwanda,2643,False
https://wong-griffin.ar,ar,1,23,1,0,0,2,1,Horton LLC,Bermuda,5957,True
http://saunders-johnson.ar,ar,0,26,1,0,0,2,1,"Underwood, Thompson and Long",Nepal,470,False
https://reid.biz,biz,1,16,0,0,0,2,1,Sexton-Roberts,Swaziland,3825,False
http://welch.gov,gov,0,16,0,0,0,2,0,Ramos-Schmidt,Mauritius,2966,True
https://davis-potter.dev,dev,1,24,1,0,0,2,0,Mason PLC,Belgium,6919,True
https://harris-johnson.biz,biz,1,26,1,0,0,2,0,Cross PLC,Faroe Islands,3954,False
http://hernandez-cohen.ar,ar,0,25,1,0,0,2,0,Rose and Sons,Maldives,7095,True
https://mcpherson.dev,dev,1,21,0,0,0,2,1,"Ramirez, Cunningham and Welch",Nepal,6693,False
http://johnson.org,org,0,18,0,0,0,2,1,"Foster, Davis and Cole",Nigeria,6138,True
https://benjamin-cox.edu,edu,1,24,1,0,0,2,1,Kane-Miller,Bolivia,6839,False
http://clayton-miranda.com,com,0,26,1,0,0,2,0,"Deleon, Evans and Robinson",United States of America,6780,True
https://jackson.org,org,1,19,0,0,0,2,1,Pierce-Shaffer,Namibia,5099,True
https://brown-luna.net,net,1,22,1,0,0,2,1,"Black, Olson and Foster",India,4012,False
http://pitts.com,com,0,16,0,0,0,2,0,Hall LLC,Paraguay,858,True
https://rosales-sanders.info,info,1,28,1,0,0,2,0,Scott-Norris,Saint Pierre and Miquelon,5090,True
http://merritt-smith.org,org,0,24,1,0,0,2,0,Wright PLC,Poland,5129,True
https://mullins-peterson.org,org,1,28,1,0,0,2,0,Grant-Sweeney,Spain,2033,True
http://powell.ar,ar,0,16,0,0,0,2,0,Mack-Greer,Myanmar,4881,False
https://mason.dev,dev,1,17,0,0,0,2,1,Deleon-Harrison,Zambia,3011,False
http://turner-young.biz,biz,0,23,1,0,0,2,1,"Thomas, Werner and Guzman",Australia,1493,True
https://lewis.org,org,1,17,0,0,0,2,0,Solomon Inc,Ecuador,6723,True
http://howard.dev,dev,0,17,0,0,0,2,1,Richard-Blevins,Guernsey,1166,True
https://evans.ar,ar,1,16,0,0,0,2,1,Miller-Rogers,Spain,3184,False
http://ayers.ar,ar,0,15,0,0,0,2,0,Jones PLC,Cameroon,5824,False
https://singleton.ar,ar,1,20,0,0,0,2,0,Davis-Hartman,New Caledonia,693,True
http://robinson-brown.edu,edu,0,25,1,0,0,2,0,Frost-French,Cayman Islands,5476,False
https://lopez.net,net,1,17,0,0,0,2,0,Everett-Smith,Portugal,2124,False
https://crawford-cox.dev,dev,1,24,1,0,0,2,0,"Parker, Hansen and Lewis",Nicaragua,4219,True
https://anthony.io,io,1,18,0,0,0,2,0,Smith-Wilkinson,Gibraltar,6259,False
https://sanchez-campos.io,io,1,25,1,0,0,2,0,Holland LLC,Korea,6000,True
https://shaw.net,net,1,16,0,0,0,2,1,Martinez and Sons,Zambia,4572,True
http://hill.gov,gov,0,15,0,0,0,2,1,Wilson-Brown,Germany,6425,True
https://thompson.biz,biz,1,20,0,0,0,2,1,Rich-Garcia,Burundi,5958,True
http://rogers-torres.biz,biz,0,24,1,0,0,2,0,"Phillips, Mejia and Brown",Lithuania,764,False
http://wilson.org,org,0,17,0,0,0,2,1,"Krueger, Freeman and Smith",Qatar,3605,True
http://padilla.edu,edu,0,18,0,0,0,2,0,Rosario LLC,Vanuatu,3842,True
https://watson-mcgee.biz,biz,1,24,1,0,0,2,1,"Allen, Harris and Vaughan",Papua New Guinea,645,False
http://bradley.edu,edu,0,18,0,0,0,2,1,Kelley-Payne,Saint Pierre and Miquelon,2051,True
http://duke.gov,gov,0,15,0,0,0,2,1,Ellis-Williams,Taiwan,4630,True
http://gates-nicholson.biz,biz,0,26,1,0,0,2,0,Thomas Ltd,Grenada,5659,False
http://barnes.net,net,0,17,0,0,0,2,0,Peterson-Alexander,Estonia,4982,True
https://edwards.ar,ar,1,18,0,0,0,2,1,"Goodwin, King and Hodges",Finland,5064,False
https://ortiz.io,io,1,16,0,0,0,2,0,Haney-Cochran,Somalia,3798,False
https://mason.net,net,1,17,0,0,0,2,1,Perez LLC,Slovakia (Slovak Republic),1755,True
https://green.io,io,1,16,0,0,0,2,1,"Vasquez, Gomez and Richardson",French Guiana,7139,True
https://crosby.ar,ar,1,17,0,0,0,2,1,Salas-Castillo,Sweden,4870,True
https://oconnor.dev,dev,1,19,0,0,0,2,1,Nelson-Mcdonald,Uruguay,3109,True
http://cobb.net,net,0,15,0,0,0,2,0,Martin and Sons,New Caledonia,1118,False
https://skinner-woods.gov,gov,1,25,1,0,0,2,0,Kaufman Inc,Iceland,3161,False
https://gallagher.net,net,1,21,0,0,0,2,0,"Thomas, Simpson and Rodriguez",Kiribati,2467,True
https://brown.org,org,1,17,0,0,0,2,1,Johnson-Dickson,Gambia,1060,False
https://williams-gardner.net,net,1,28,1,0,0,2,0,Fisher Ltd,Botswana,1830,False
https://adams-peterson.biz,biz,1,26,1,0,0,2,1,Schaefer-Edwards,Holy See (Vatican City State),1307,True
https://mueller-may.io,io,1,22,1,0,0,2,1,Owens-Sawyer,Palau,6542,False
http://gibson.com,com,0,17,0,0,0,2,0,"Lee, Henry and Phillips",Portugal,5445,False
https://gaines.edu,edu,1,18,0,0,0,2,1,Hammond and Sons,Israel,6691,True
https://duran-arnold.info,info,1,25,1,0,0,2,1,Marquez PLC,Azerbaijan,4924,True
http://smith-riggs.com,com,0,22,1,0,0,2,0,Baker Inc,Israel,1805,False
http://dyer-nguyen.info,info,0,23,1,0,0,2,1,Morales-Ramirez,Uruguay,2413,True
http://carter.com,com,0,17,0,0,0,2,0,Bright-Martin,Senegal,581,True
https://kennedy.ar,ar,1,18,0,0,0,2,0,Young Group,Cayman Islands,6143,True
http://sullivan.ar,ar,0,18,0,0,0,2,0,White-Paul,Ireland,4918,True
http://summers-monroe.dev,dev,0,25,1,0,0,2,1,"Austin, Wright and Ruiz",Palau,4644,False
https://palmer.net,net,1,18,0,0,0,2,0,"Patrick, Parks and Andersen",Brazil,4399,False
https://briggs.gov,gov,1,18,0,0,0,2,0,"Gallegos, Taylor and Marks",Palau,4801,False
http://smith.info,info,0,17,0,0,0,2,1,"Martinez, Gilmore and Schmidt",Nicaragua,5770,True
http://king-lewis.biz,biz,0,21,1,0,0,2,0,Pace Inc,Yemen,5114,True
https://vega.biz,biz,1,16,0,0,0,2,0,Delgado and Sons,Portugal,4234,False
https://johnson-owen.info,info,1,25,1,0,0,2,0,Blair-Baker,San Marino,4696,True
http://calderon-johnson.com,com,0,27,1,0,0,2,0,"Larson, Brown and Parker",Liechtenstein,5815,False
https://wallace-ryan.ar,ar,1,23,1,0,0,2,0,"Clark, Hernandez and Harrison",Madagascar,3769,False
https://ramirez.edu,edu,1,19,0,0,0,2,1,Miller LLC,Togo,4332,False
https://hicks-jones.biz,biz,1,23,1,0,0,2,0,"Williams, Anderson and Newman",Pakistan,1086,True
https://braun.com,com,1,17,0,0,0,2,0,Hatfield PLC,Iran,4656,False
http://carr.org,org,0,15,0,0,0,2,0,Briggs-Frey,Hungary,423,True
http://snyder.info,info,0,18,0,0,0,2,0,Holmes-White,Tuvalu,4897,False
https://mccoy.info,info,1,18,0,0,0,2,0,"Arroyo, Guzman and Baker",Christmas Island,3992,True
http://wilson-keller.dev,dev,0,24,1,0,0,2,0,"Jones, Jackson and Thomas",Faroe Islands,1678,True
http://gibson.gov,gov,0,17,0,0,0,2,0,"Diaz, Hudson and Burns",Austria,1153,True
https://norman.gov,gov,1,18,0,0,0,2,0,"Gonzales, Peterson and Obrien",Uzbekistan,1399,True
https://phillips-livingston.edu,edu,1,31,1,0,0,2,1,"Evans, Powers and Foster",Saint Vincent and the Grenadines,2461,False
http://lee-kelly.gov,gov,0,20,1,0,0,2,1,Hunt-Wells,Western Sahara,6755,False
http://rodriguez.edu,edu,0,20,0,0,0,2,1,Owens PLC,Antigua and Barbuda,1723,False
https://cook.net,net,1,16,0,0,0,2,1,Hernandez-Shepherd,Argentina,3884,True
https://ramos-thomas.io,io,1,23,1,0,0,2,1,Smith-Wilson,Korea,3729,False
http://strickland-kelly.ar,ar,0,26,1,0,0,2,1,Morris-Richard,Vanuatu,5510,False
http://hanson-peters.io,io,0,23,1,0,0,2,0,Hamilton PLC,Philippines,1466,True
https://owens-salas.info,info,1,24,1,0,0,2,1,Schmidt PLC,Paraguay,493,True
http://hernandez.org,org,0,20,0,0,0,2,1,Mason Inc,Pitcairn Islands,2410,True
https://wilson-garner.edu,edu,1,25,1,0,0,2,1,Edwards LLC,Slovenia,2355,False
https://rivera.com,com,1,18,0,0,0,2,1,"Glover, Johnson and Mora",Bahrain,5405,True
http://fuller-valdez.org,org,0,24,1,0,0,2,1,"Everett, Williams and Baker",Syrian Arab Republic,4134,True
http://hill.io,io,0,14,0,0,0,2,0,Steele LLC,Bangladesh,1773,False
https://wolf.gov,gov,1,16,0,0,0,2,1,Snyder-Griffin,Netherlands Antilles,3460,False
http://anderson-golden.org,org,0,26,1,0,0,2,0,Guerrero-Swanson,Zimbabwe,849,False
http://todd.info,info,0,16,0,0,0,2,1,Edwards Group,Pitcairn Islands,6294,False
http://scott.net,net,0,16,0,0,0,2,0,"Andrews, Hernandez and Parrish",Finland,4427,False
http://mitchell-deleon.gov,gov,0,26,1,0,0,2,0,"Lewis, Garcia and Montgomery",Saint Kitts and Nevis,2575,True
https://cummings-scott.edu,edu,1,26,1,0,0,2,0,Crosby Group,Burkina Faso,6583,True
https://romero-garza.gov,gov,1,24,1,0,0,2,1,White Group,Paraguay,2936,False
http://norris.ar,ar,0,16,0,0,0,2,0,"Hawkins, Scott and Myers",Saint Vincent and the Grenadines,4381,True
https://griffin.io,io,1,18,0,0,0,2,1,"Davidson, Matthews and Bowman",Grenada,577,True
https://pittman.dev,dev,1,19,0,0,0,2,1,"Morris, Gomez and Burns",India,5384,True
https://hoffman.dev,dev,1,19,0,0,0,2,1,"Smith, Lopez and Frazier",Aruba,6263,False
https://fowler.com,com,1,18,0,0,0,2,1,"Joseph, Kramer and Baker",Faroe Islands,3013,False
https://rivera-davidson.gov,gov,1,27,1,0,0,2,1,"Quinn, Diaz and Nelson",Angola,4535,False
http://moore.com,com,0,16,0,0,0,2,1,Gonzalez-King,Pakistan,4034,False
https://lawrence-scott.com,com,1,26,1,0,0,2,1,"Strong, Marshall and Gutierrez",Hungary,5049,False
https://kirk-harris.edu,edu,1,23,1,0,0,2,0,Arellano Inc,Ethiopia,7204,True
